ID,Week Number,Phase ID,Phase Name,Focus,Start Date,End Date
60,0,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Week 00 – Pre-Requisite Bootcamp (Complete Beginner Ramp-Up),2026-01-02,2026-01-09
1,1,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Week 01 – Electronics fundamentals & measurement discipline,2026-01-12,2026-01-19
2,2,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Week 02 – Circuit simulation sprints & power supply literacy,2026-01-20,2026-01-27
3,3,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Week 03 – Digital logic blueprints & finite-state thinking,2026-01-28,2026-02-04
4,4,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Week 04 – MCU architecture survey & toolchain onboarding,2026-02-05,2026-02-12
5,5,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Week 05 – C programming foundations & syntax fluency,2026-02-13,2026-02-20
6,6,1,Phase 1 – Hardware Foundations & Modern Embedded C++,"Week 06 – Memory, pointers, and ISR-grade C idioms",2026-02-23,2026-03-02
70,7,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Week 07 – ARM Assembly Fundamentals for Debugging,2025-02-15,
7,8,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Week 7 Focus – DMA Fundamentals & Peripheral Basics,2026-03-03,2026-03-10
8,9,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Week 08 – Communication protocol essentials,2026-03-11,2026-03-18
9,10,1,Phase 1 – Hardware Foundations & Modern Embedded C++,"Week 09 – DMA Fundamentals & Integration sprint, reviews, and communication demo",2026-03-19,2026-03-26
10,11,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Week 10 – Power management & low energy design,2026-03-27,2026-04-03
11,12,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Week 11 – Bootloaders & secure update foundations,2026-04-06,2026-04-13
12,13,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Week 12 – Containerized Build Environments & CI Enablement,2026-04-14,2026-04-21
13,14,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Week 13 – Safety basics & design for reliability,2026-04-22,2026-04-29
14,15,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Week 14 – Phase consolidation & portfolio artifact,2026-04-30,2026-05-07
15,16,2,Phase 2 – Real-Time Systems & Connected Firmware,Week 15 – Zephyr RTOS architecture & board bring-up,2026-05-08,2026-05-15
16,17,2,Phase 2 – Real-Time Systems & Connected Firmware,Week 16 – FreeRTOS Fundamentals (Replacing Buffer),2026-05-18,2026-05-25
17,18,2,Phase 2 – Real-Time Systems & Connected Firmware,Week 17 – Deterministic scheduling & time partitioning,2026-05-26,2026-06-02
18,19,2,Phase 2 – Real-Time Systems & Connected Firmware,Week 18 Focus – Advanced DMA Patterns & Multi-channel DMA,2026-06-03,2026-06-10
19,20,2,Phase 2 – Real-Time Systems & Connected Firmware,Week 19 – CAN/CAN-FD Physical Layer & LIN Protocol,2026-06-11,2026-06-18
20,21,2,Phase 2 – Real-Time Systems & Connected Firmware,Week 20 – ISO-TP & UDS Automotive Diagnostics,2026-06-19,2026-06-26
21,22,2,Phase 2 – Real-Time Systems & Connected Firmware,Week 21 – RISC-V bring-up & open tooling,2026-06-29,2026-07-06
22,23,2,Phase 2 – Real-Time Systems & Connected Firmware,Week 22 – TCP/IP Networking Stack Internals & Packet Analysis,2026-07-07,2026-07-14
23,24,2,Phase 2 – Real-Time Systems & Connected Firmware,Week 23 – Secure communications & provisioning hardening,2026-07-15,2026-07-22
24,25,2,Phase 2 – Real-Time Systems & Connected Firmware,Week 24 – Fleet update infrastructure & DevOps,2026-07-23,2026-07-30
25,26,2,Phase 2 – Real-Time Systems & Connected Firmware,Week 25 – 🔄 BUFFER – Catch-up & Consolidation,2026-07-31,2026-08-07
26,27,2,Phase 2 – Real-Time Systems & Connected Firmware,Week 26 – Data pipelines & storage durability,2026-08-10,2026-08-17
27,28,2,Phase 2 – Real-Time Systems & Connected Firmware,"Week 27 – Observability, logging, and remote diagnostics",2026-08-18,2026-08-25
28,29,2,Phase 2 – Real-Time Systems & Connected Firmware,Week 28 – Gateway integration & heterogeneous compute,2026-08-26,2026-09-02
29,30,2,Phase 2 – Real-Time Systems & Connected Firmware,Week 29 – Mixed-criticality & virtualization,2026-09-03,2026-09-10
30,31,2,Phase 2 – Real-Time Systems & Connected Firmware,"Week 30 – Phase consolidation, demos, and midterm review",2026-09-11,2026-09-18
31,32,3,"Phase 3 – Edge Intelligence, Safety & Manufacturing Readiness",Week 31 – TinyML foundations on Cortex-M,2026-09-21,2026-09-28
32,33,3,"Phase 3 – Edge Intelligence, Safety & Manufacturing Readiness","Week 32 – Optimization, quantization, and benchmarks",2026-09-29,2026-10-06
33,34,3,"Phase 3 – Edge Intelligence, Safety & Manufacturing Readiness",Week 33 – Sensor fusion with ML & adaptive algorithms,2026-10-07,2026-10-14
34,35,3,"Phase 3 – Edge Intelligence, Safety & Manufacturing Readiness",Week 34 – 🔄 BUFFER – Catch-up & Consolidation,2026-10-15,2026-10-22
62,36,3,"Phase 3 – Edge Intelligence, Safety & Manufacturing Readiness",Week 35 – USB Protocol Fundamentals & Device Class,2026-10-23,2026-10-30
63,37,3,"Phase 3 – Edge Intelligence, Safety & Manufacturing Readiness",Week 36 – Embedded Networking & IoT Protocols,2026-11-02,2026-11-09
