ID,Title,Description,AI Prompt,Day ID,Day Number,Week ID,Week Number,Hour Number,Status,Estimated Hours
1,Decode Ohm's/Kirchhoff laws with AI co-pilots (Segment 1/4),Work through daily voltage/current/power drills in Notion (Concept → Formula → MCU tie-in) while using Codex to produce quick C calculators for sanity checks.,Generate a C utility that solves Kirchhoff loop equations given resistor arrays and expected rail voltages.,1,1,1,1,1,pending,1.1333333333333333
2,Decode Ohm's/Kirchhoff laws with AI co-pilots (Segment 2/4),Work through daily voltage/current/power drills in Notion (Concept → Formula → MCU tie-in) while using Codex to produce quick C calculators for sanity checks.,Generate a C utility that solves Kirchhoff loop equations given resistor arrays and expected rail voltages.,1,1,1,1,2,pending,1.1333333333333333
3,Decode Ohm's/Kirchhoff laws with AI co-pilots (Segment 3/4),Work through daily voltage/current/power drills in Notion (Concept → Formula → MCU tie-in) while using Codex to produce quick C calculators for sanity checks.,Generate a C utility that solves Kirchhoff loop equations given resistor arrays and expected rail voltages.,1,1,1,1,3,pending,1.1166666666666667
4,Decode Ohm's/Kirchhoff laws with AI co-pilots (Segment 4/4),Work through daily voltage/current/power drills in Notion (Concept → Formula → MCU tie-in) while using Codex to produce quick C calculators for sanity checks.,Generate a C utility that solves Kirchhoff loop equations given resistor arrays and expected rail voltages.,2,2,1,1,4,pending,1.1166666666666667
5,Component characterization lab (Segment 1/5),Simulate common-passive circuits in Wokwi and log oscilloscope-style screenshots explaining how the behavior maps to MCU power rails.,Review my RC/RL simulation captures and highlight regimes where MCU brownouts are likely.,2,2,1,1,5,pending,1.0
6,Component characterization lab (Segment 2/5),Simulate common-passive circuits in Wokwi and log oscilloscope-style screenshots explaining how the behavior maps to MCU power rails.,Review my RC/RL simulation captures and highlight regimes where MCU brownouts are likely.,2,2,1,1,6,pending,1.0
7,Component characterization lab (Segment 3/5),Simulate common-passive circuits in Wokwi and log oscilloscope-style screenshots explaining how the behavior maps to MCU power rails.,Review my RC/RL simulation captures and highlight regimes where MCU brownouts are likely.,3,3,1,1,7,pending,1.0
8,Component characterization lab (Segment 4/5),Simulate common-passive circuits in Wokwi and log oscilloscope-style screenshots explaining how the behavior maps to MCU power rails.,Review my RC/RL simulation captures and highlight regimes where MCU brownouts are likely.,3,3,1,1,8,pending,1.0
9,Component characterization lab (Segment 5/5),Simulate common-passive circuits in Wokwi and log oscilloscope-style screenshots explaining how the behavior maps to MCU power rails.,Review my RC/RL simulation captures and highlight regimes where MCU brownouts are likely.,3,3,1,1,9,pending,1.0
10,Instrumentation setup & lab hygiene (Segment 1/4),"Label probes, create udev rules for bench gear, and document ESD/grounding procedures in a Git-tracked lab handbook.",Suggest improvements to my lab SOP for static safety and repeatable measurements.,3,3,1,1,10,pending,0.8833333333333333
11,Instrumentation setup & lab hygiene (Segment 2/4),"Label probes, create udev rules for bench gear, and document ESD/grounding procedures in a Git-tracked lab handbook.",Suggest improvements to my lab SOP for static safety and repeatable measurements.,4,4,1,1,11,pending,0.8833333333333333
12,Instrumentation setup & lab hygiene (Segment 3/4),"Label probes, create udev rules for bench gear, and document ESD/grounding procedures in a Git-tracked lab handbook.",Suggest improvements to my lab SOP for static safety and repeatable measurements.,4,4,1,1,12,pending,0.8666666666666667
13,Instrumentation setup & lab hygiene (Segment 4/4),"Label probes, create udev rules for bench gear, and document ESD/grounding procedures in a Git-tracked lab handbook.",Suggest improvements to my lab SOP for static safety and repeatable measurements.,4,4,1,1,13,pending,0.8666666666666667
14,Deep work focus block,Allocate time for deliberate practice or backlog grooming.,Identify one micro-skill to sharpen today and craft an AI-assisted plan.,5,5,1,1,14,pending,0.75
15,Weekly integration & portfolio review,"Summarize lessons, sync repos, publish status update.","Summarize takeaways, log blockers, and queue AI prompts for next sprint in Notion.",6,6,1,1,15,pending,2.0
16,Wokwi simulation marathon (Segment 1/6),"Build and document three mini-circuits (voltage divider, RC filter, op-amp buffer) with annotated screenshots and Git commits.",Explain how my Wokwi plots translate to real PCB traces and what tolerances to watch.,8,1,2,2,1,pending,0.9166666666666666
17,Wokwi simulation marathon (Segment 2/6),"Build and document three mini-circuits (voltage divider, RC filter, op-amp buffer) with annotated screenshots and Git commits.",Explain how my Wokwi plots translate to real PCB traces and what tolerances to watch.,8,1,2,2,2,pending,0.9166666666666666
18,Wokwi simulation marathon (Segment 3/6),"Build and document three mini-circuits (voltage divider, RC filter, op-amp buffer) with annotated screenshots and Git commits.",Explain how my Wokwi plots translate to real PCB traces and what tolerances to watch.,8,1,2,2,3,pending,0.9166666666666666
19,Wokwi simulation marathon (Segment 4/6),"Build and document three mini-circuits (voltage divider, RC filter, op-amp buffer) with annotated screenshots and Git commits.",Explain how my Wokwi plots translate to real PCB traces and what tolerances to watch.,8,1,2,2,4,pending,0.9166666666666666
20,Wokwi simulation marathon (Segment 5/6),"Build and document three mini-circuits (voltage divider, RC filter, op-amp buffer) with annotated screenshots and Git commits.",Explain how my Wokwi plots translate to real PCB traces and what tolerances to watch.,9,2,2,2,5,pending,0.9166666666666666
21,Wokwi simulation marathon (Segment 6/6),"Build and document three mini-circuits (voltage divider, RC filter, op-amp buffer) with annotated screenshots and Git commits.",Explain how my Wokwi plots translate to real PCB traces and what tolerances to watch.,9,2,2,2,6,pending,0.9166666666666666
22,Power-supply troubleshooting drills (Segment 1/4),"Model buck/boost regulators, calculate ripple, and simulate load steps using LTspice or Falstad.","Given regulator parameters, estimate safe output ripple for STM32 analog rails.",9,2,2,2,7,pending,1.1333333333333333
23,Power-supply troubleshooting drills (Segment 2/4),"Model buck/boost regulators, calculate ripple, and simulate load steps using LTspice or Falstad.","Given regulator parameters, estimate safe output ripple for STM32 analog rails.",10,3,2,2,8,pending,1.1333333333333333
