ID,Title,Type,URL,Week ID,Week Number,Notes
1,NPTEL Basic Electronics for Embedded Systems,course,https://www.youtube.com/playlist?list=PL7987F30C41A9ADCB,1,1,Lectures 1-4 (IIT Madras YouTube playlist)
2,Practical Electronics for Inventors,book,https://www.mhprofessional.com/practical-electronics-for-inventors-fourth-edition-9781259587542-usa,1,1,Chapters 1-3 nightly reading
3,Khan Academy electronics shorts,video,https://www.khanacademy.org/science/electrical-engineering,1,1,5-minute refreshers before drills
4,Falstad circuit simulator,tool,https://falstad.com/circuit/,2,2,Use for quick what-if experiments
5,All About Circuits power design series,article,https://www.allaboutcircuits.com/technical-articles/,2,2,Ripple & regulation primers
6,Arm Keil QEMU lab,docs,https://docs.zephyrproject.org/latest/boards/qemu/index.html,2,2,Dry-run firmware without hardware
7,Coursera Digital Systems (Princeton),course,https://www.coursera.org/learn/digital-systems,3,3,Audit Weeks 1-2
8,Udemy Digital Electronics for Embedded,course,https://www.udemy.com/course/crash-course-digital-electronics/,3,3,Use first 5 hours for Logisim labs
9,Logisim Evolution,tool,https://github.com/logisim-evolution/logisim-evolution,3,3,Preferred simulator for FSMs
10,ST STM32 Step-by-Step series,course,https://wiki.st.com/stm32mcu/wiki/STM32StepByStep:Getting_started_with_STM32_:_STM32_step_by_step,4,4,Videos on toolchains and flashing
11,Espressif Getting Started,docs,https://docs.espressif.com/projects/esp-idf/en/latest/esp32/get-started/index.html,4,4,ESP-IDF CLI flow
12,ARM Cortex-M for Embedded Engineers,book,https://www.arm.com/resources/education/books,4,4,Architecture primer
13,edX C Programming for Embedded Systems,course,https://www.edx.org/learn/c-programming,5,5,Use Weeks 1-2
14,Embedded C Programming (Book),book,https://www.researchgate.net/publication/343889943_Embedded_C_Programming,5,5,Daily end-of-chapter drills
15,HackerRank C track,platform,https://www.hackerrank.com/domains/c,5,5,Target 50 easy problems over the phase
16,Valgrind quickstart,docs,https://valgrind.org/docs/manual/quick-start.html,6,6,Memory checking on Ubuntu
17,Embedded C Coding Standards,book,https://www.amazon.in/Embedded-Coding-Standard-Michael-Barr/dp/1442164824,6,6,Chapters on pointers & volatile
18,STM32 reference manual GPIO chapter,docs,https://www.st.com/en/microcontrollers-microprocessors/stm32f7-series/documentation.html,6,6,Register map practice
19,I2C Bus Specification,spec,https://www.nxp.com/docs/en/user-guide/UM10204.pdf,8,9,Fast-mode tables
20,Saleae University,video,https://www.youtube.com/playlist?list=PLUdiafhsYS1RD_4aqtbYda7RJ_amlbgY4,8,9,Logic analyzer workflow
21,minicom cheat-sheet,article,https://linux.die.net/man/1/minicom,8,9,Serial debug commands
22,GeeksforGeeks electronics quiz,other,https://www.geeksforgeeks.org/electronics-engineering/,9,10,Target 80%+ score
23,CMSIS-DSP Library Tutorial,video,https://arm-software.github.io/CMSIS-DSP/latest/index.html,9,10,Polish demo videos
24,Notion weekly review template,template,https://www.notion.so/templates/weekly-review,9,10,Structure retros
25,STM32 low-power appnote,appnote,https://www.st.com/resource/en/application_note/an4749-ultra-low-power-with-stm32l4-series-and-stm32l4-series-mcus-stmicroelectronics.pdf,10,11,AN4749 decision tree
26,Otii scripting cookbook,docs,https://www.qoitech.com/,10,11,Automation tips
27,Dynamic power management research snapshot,paper,https://dl.acm.org/,10,11,Use as inspiration for DFS policies
28,MCUBoot design overview,docs,https://mcuboot.com/documentation/,11,12,Borrow image manifest ideas
29,ARM Trusted Firmware-M,docs,https://www.trustedfirmware.org/projects/tf-m/,11,12,Secure boot reference
30,NIST SP 800-90B,spec,https://csrc.nist.gov/publications/detail/sp/800-90b/final,11,12,Entropy source validation
31,Docker for Embedded Development,article,https://interrupt.memfault.com/blog/,12,13,Containerization best practices
32,Renode & Robot Framework guide,article,https://interrupt.memfault.com/blog/,12,13,Simulation inspiration
33,GitHub Actions self-hosted runners,docs,https://docs.github.com/actions/hosting-your-own-runners/managing-self-hosted-runners,12,13,Pi farm management
34,ESP-IDF Docker image,docs,https://docs.espressif.com/projects/esp-idf/en/latest/esp32/api-guides/tools/idf-docker-image.html,12,13,Official containerized development environment
35,ISO 26262 overview,course,https://www.youtube.com/watch?v=9wcJuW9E0S8,13,14,Safety vocabulary
36,NXP watchdog design guide,appnote,https://www.nxp.com/search?keyword=watchdog&start=0,13,14,Best practices
37,EMC troubleshooting handbook,book,https://www.sae.org/publications/books/content/r-146/,13,14,Chapters on shielding
38,Technical writing checklist,article,https://developers.google.com/tech-writing,14,15,Narrative polish
39,Notion project retrospective template,template,https://www.notion.so/templates/,14,15,Frame retro meeting
40,Obsidian publishing guide,docs,https://help.obsidian.md/Publishing,14,15,Share notes publicly
41,Zephyr Devicetree primer,docs,https://docs.zephyrproject.org/latest/build/dts/index.html,15,16,Overlay syntax refresher
42,Zephyr tracing & logging guide,docs,https://docs.zephyrproject.org/latest/services/tracing/index.html,15,16,Enable system view
43,Memfault Zephyr bring-up checklist,article,https://interrupt.memfault.com/blog/,15,16,Double-check porting steps
44,Liu & Layland RMA paper,paper,https://ieeexplore.ieee.org/document/1451669,17,18,Theory refresher
45,SystemView tutorials,video,https://www.youtube.com/playlist?list=PLDqLs4CjhqjHROsMT5eQpvavOuh0yUj6J,17,18,Visualization walkthrough
46,Zephyr scheduling internals,docs,https://docs.zephyrproject.org/latest/kernel/services/scheduling/index.html,17,18,Scheduler deep dive
47,ST AN4031 DMA cookbook,appnote,https://www.st.com/resource/en/application_note/an4031-using-the-stm32f2-stm32f4-and-stm32f7-series-dma-controller-stmicroelectronics.pdf,18,19,Linked list strategies
48,Zephyr sensor subsystem,docs,https://docs.zephyrproject.org/latest/reference/peripherals/sensor.html,18,19,Driver patterns
49,pytest-benchmark documentation,docs,https://pytest-benchmark.readthedocs.io/en/latest/,18,19,Profiling helpers
50,LIN 2.1 Specification,spec,https://www.lin-cia.org/standards/,19,20,Official LIN protocol reference
51,Vector LIN Basics,article,https://www.vector.com/int/en/know-how/,19,20,Introduction to LIN networking
52,CAN Physical Layer Design,appnote,https://www.nxp.com/products/interfaces/can-transceivers:MC_53485,19,20,NXP TJA1050 application note
53,STM32 CAN FD Tutorial,docs,https://wiki.st.com/stm32mcu/wiki/Connectivity:Introduction_to_FDCAN,19,20,STM32 FDCAN configuration
54,ISO 15765-2 (ISO-TP) Overview,article,https://www.csselectronics.com/pages/uds-protocol-tutorial-unified-diagnostic-services,20,21,Transport protocol for CAN diagnostics
55,UDS Protocol Tutorial,article,https://www.csselectronics.com/pages/uds-protocol-tutorial-unified-diagnostic-services,20,21,Comprehensive UDS service reference
56,python-can library,docs,https://python-can.readthedocs.io/en/stable/,20,21,Python CAN interface for testing
57,cantools DBC/UDS guide,docs,https://cantools.readthedocs.io/en/latest/,20,21,Automate DBC parsing and UDS encoding
58,RISC-V privileged spec,spec,https://riscv.org/technical/specifications/,21,22,Anchor PMP and privilege model
59,Zephyr RISC-V porting guide,docs,https://docs.zephyrproject.org/latest/boards/,21,22,DeviceTree + Kconfig patterns
60,OpenOCD RISC-V how-to,article,https://interrupt.memfault.com/blog/,21,22,Debug setup
61,Wireshark User Guide,docs,https://www.wireshark.org/docs/wsug_html_chunked/,22,23,Essential network analysis tool
62,lwIP Wiki & Architecture,docs,https://savannah.nongnu.org/projects/lwip/,22,23,Lightweight IP stack internals
63,TCP/IP Illustrated (Stevens),book,https://www.kohala.com/start/tcpipiv1.html,22,23,Foundational networking reference
64,ESP-IDF Wi-Fi/BLE coexistence,docs,https://docs.espressif.com/projects/esp-idf/en/latest/esp32c3/api-guides/coexist.html,22,23,Dual-stack configuration
65,mbedTLS configuration manual,docs,https://tls.mbed.org/kb/how-to/configure-mbedtls,23,24,Memory footprint tuning
66,Microchip ATECC608A design guide,appnote,https://www.microchip.com/en-us/products/security/security-ics,23,24,Secure element patterns
67,OWASP firmware security testing,guide,https://owasp.org/www-project-internet-of-things/,23,24,Threat modeling prompts
68,AWS IoT Jobs workshop,hands-on,https://catalog.workshops.aws/iot-jobs/en-US,24,25,Rollout automation
69,Azure Device Update patterns,docs,https://learn.microsoft.com/azure/iot-hub-device-update/,24,25,Cohort design
70,Grafana Loki logs for IoT,article,https://grafana.com/docs/loki/latest/,24,25,Centralized telemetry
71,LittleFS design paper,whitepaper,https://github.com/littlefs-project/littlefs/blob/master/DESIGN.md,26,27,Crash-consistency fundamentals
72,CBOR RFC 7049,spec,https://www.rfc-editor.org/rfc/rfc7049,26,27,Encoding reference
73,TinyML anomaly detection sample,repo,https://github.com/tinyMLx/courseware,26,27,Accelerate edge analytics
74,Memfault diagnostic stack guides,docs,https://docs.memfault.com/,27,28,Crash dump export reference
75,Google Cloud logging structured fields,docs,https://cloud.google.com/logging/docs/structured-logging,27,28,Schema inspiration
76,OWASP access control cheat sheet,article,https://cheatsheetseries.owasp.org/cheatsheets/Access_Control_Cheat_Sheet.html,27,28,Secure remote tooling
77,NVIDIA Jetson security best practices,docs,https://docs.nvidia.com/jetson/archives/r34.1/DeveloperGuide/,28,29,Gateway hardening
78,MQTT essentials whitepaper,whitepaper,https://mqtt.org/mqtt-specification/,28,29,Messaging semantics
79,Podman on edge devices,article,https://www.redhat.com/en/topics/containers/what-is-podman,28,29,Containerization tips
80,ARM TrustZone for Cortex-M guide,docs,https://www.arm.com/technologies/trustzone-for-cortex-m,29,30,Partitioning basics
81,Jailhouse hypervisor overview,docs,https://github.com/siemens/jailhouse,29,30,Mixed-criticality case studies
82,Safety case patterns (SINTEF),paper,https://www.iso.org/standard/68383.html,29,30,Argument structure
83,FreeRTOS Queue and Semaphore Tutorial,video,https://www.freertos.org/Embedded-RTOS-Queues.html,30,31,Demo storytelling
84,Architecture Decision Record template,template,https://adr.github.io/madr/,30,31,Ensure consistency
85,Roadmap retrospective worksheet,worksheet,https://miro.com/miroverse/product-roadmap-retrospective/,30,31,Guide review meeting
86,Edge Impulse data operations,docs,https://docs.edgeimpulse.com/docs,31,32,Dataset versioning
87,Edge Impulse Documentation (TinyML),docs,https://docs.edgeimpulse.com/docs/,31,32,Chapters on MCU deployment
88,TensorFlow Lite Micro examples,repo,https://github.com/tensorflow/tflite-micro,31,32,Reference code
89,CMSIS-NN optimization guide,docs,https://arm-software.github.io/CMSIS_5/NN/html/index.html,32,33,Kernel tuning
90,TensorFlow Model Optimization Toolkit,docs,https://www.tensorflow.org/model_optimization,32,33,Quantization recipes
91,MLPerf Tiny benchmark,benchmark,https://mlcommons.org/benchmarks/inference-tiny/,32,33,Compare targets
92,Sensor fusion architectures,paper,https://arxiv.org/abs/2009.08264,33,34,Combine model & Bayesian filters
93,SHAP explainability docs,docs,https://shap.readthedocs.io/en/latest/,33,34,Interpretation tools
94,Edge personalization case studies,article,https://www.edge-ai-vision.com/2021/04/on-device-learning/,33,34,Ideas for on-device learning
95,OpenMV & STM32 camera app notes,appnote,https://www.openmv.io/pages/download,35,38,Camera bring-up tips
96,TVM microTVM tutorial,docs,https://tvm.apache.org/docs/,35,38,Deploy optimized models
97,MobileNetV3 paper,paper,https://arxiv.org/abs/1905.02244,35,38,Model characteristics
98,ISO 26262 part summaries,guide,https://www.iso.org/standard/43464.html,36,39,High-level orientation
99,Functional safety pocket guide,article,https://www.sei.cmu.edu/,36,39,Terminology refresher
100,AbsInt MC/DC tooling overview,docs,https://www.absint.com/,36,39,Verification tooling
101,Diagnostic coverage explained,article,https://www.exida.com/resources,37,40,Metrics refresher
102,ASIL decomposition reference,docs,https://www.mathworks.com/solutions/automotive/standards/iso-26262.html,37,40,Redundancy design
103,Firmware fault injection patterns,article,https://interrupt.memfault.com/blog/,37,40,Testing inspiration
104,Android Automotive HAL overview,docs,https://source.android.com/docs/automotive,38,41,Understand VHAL plumbing
105,Android Automotive OS architecture,guide,https://developer.android.com/cars,38,41,Map services & permissions
106,CycloneDX CLI,docs,https://cyclonedx.org/tool-center/,38,41,Automate SBOMs
107,Adafruit manufacturing fixture overview,article,https://learn.adafruit.com/,39,42,Fixture inspiration
108,Boundary scan tutorial,video,https://www.youtube.com/watch?v=TlWlLeC5BUs,39,42,Automate JTAG tests
109,SparkFun DFM checklist,guide,https://learn.sparkfun.com/tutorials/designing-pcbs-smd-footprints/all,39,42,Review before CM handoff
110,Altium design review checklist,checklist,https://www.altium.com/documentation/,40,43,Schematic & PCB review
111,Keysight impedance control guide,guide,https://www.keysight.com/us/en/products.html,40,43,Transmission line refresher
112,Pre-compliance testing tips,article,https://www.edn.com/designcenter/test-measurement/,40,43,Plan lab sessions
113,HALT/HASS fundamentals,article,https://help.reliasoft.com/articles/content/basics/accelerated.htm,41,44,Stress planning
114,NI environmental testing primer,article,https://www.ni.com/en/solutions.html,41,44,Instrumentation guidance
115,Weibull analysis tutorial,guide,https://www.weibull.com/,41,44,Reliability statistics
116,SiliconExpert overview,guide,https://www.siliconexpert.com/,42,46,Monitor component health
117,IPC-1754 supply chain data standard,standard,https://www.ipc.org/ContentPage.aspx?pageid=Standards,42,46,Traceability reference
118,Manufacturing traceability best practices,article,https://www.jamasoftware.com/requirements-management-guide/requirements-traceability/,42,46,Serialization approaches
119,CE marking roadmap,guide,https://ec.europa.eu/growth/single-market/ce-marking/,44,48,EU compliance steps
120,UL certification overview,article,https://www.ul.com/services/certification,44,48,Testing preparation
121,RoHS/REACH compliance checklist,checklist,https://ec.europa.eu/environment/topics/waste-and-recycling/rohs-directive_en,44,48,Materials documentation
122,Unit Testing Embedded C with Ceedling,course,https://github.com/ThrowTheSwitch/Ceedling,45,53,Sharpen presentation
123,Compliance documentation best practices,article,https://www2.deloitte.com/us/en.html,45,53,Organize evidence
124,Retrospective facilitation guide,article,https://www.mountaingoatsoftware.com/agile/scrum/sprint-retrospective,45,53,Keep retro focused
125,Interview synthesis template,template,https://www.notion.so/templates/,46,54,Notion board
126,Roman Pichler backlog guide,article,https://www.romanpichler.com/blog/,46,54,Product backlog tips
127,Service design blueprint primer,article,https://www.nngroup.com/articles/service-blueprints-definition/,46,54,Journey mapping
128,Qt for MCUs best practices,docs,https://www.qt.io/development/develop-embedded-devices,47,55,Optimize resource usage
129,NNGroup usability testing 101,guide,https://www.nngroup.com/articles/usability-testing-101/,47,55,Run efficient tests
130,Embedded GPU profiling techniques,article,https://developer.nvidia.com/embedded-computing,47,55,Performance tuning
131,Metabase modeling guide,docs,https://www.metabase.com/docs/latest/,48,56,Dashboard fundamentals
132,ML monitoring best practices,article,https://www.evidentlyai.com/ml-monitoring,48,56,Edge + cloud drift tactics
133,Grafana alerting walkthrough,video,https://grafana.com/docs/grafana/latest/alerting/,48,56,Set up actionable alerts
134,SRE workbook,book,https://sre.google/workbook/,49,57,On-call excellence
135,RMA process best practices,article,https://www.ifixit.com/Guide,49,57,Reduce turnaround
136,Zendesk knowledge base playbook,guide,https://www.zendesk.com/service/help-center/,49,57,Support tooling
137,Embedded performance budget guide,article,https://interrupt.memfault.com/blog/,50,58,Budget templates
138,AWS IoT cost optimization,guide,https://aws.amazon.com/iot/,50,58,Cloud cost levers
139,Latency optimization playbook,talk,https://www.youtube.com/watch?v=kpcVBogONmw,50,58,Tuning inspiration
140,OWASP ISVS checklist,standard,https://owasp.org/www-project-iot-security-verification-standard/,51,59,Audit baseline
141,Red team playbook,article,https://www.crowdstrike.com/cybersecurity-101/red-team-vs-blue-team/,51,59,Simulation guidance
142,Secure coding lunch-and-learn kit,template,https://github.com/OWASP/DevSecOpsGuideline,51,59,Training materials
143,Release readiness checklist,checklist,https://www.productplan.com/,53,61,Ensure completeness
144,Microsoft style guide,guide,https://learn.microsoft.com/style-guide/,53,61,Consistency before freeze
145,Enablement plan template,template,https://miro.com/miroverse/sales-enablement-plan/,53,61,Train stakeholders
146,AWS game day handbook,guide,https://aws.amazon.com/gameday/,54,62,Exercise ideas
147,Incident command system for tech,article,https://www.usenix.org/conference/srecon19emea/presentation/murphy,54,62,ICS adaptation
148,DORA metrics primer,guide,https://www.devops-research.com/research.html,54,62,Key KPIs
