ID,Name,Description,Status,Phase ID,Phase Name,Start Date,Due Date,Repo URL,Demo URL
1,LabOps Automation Suite,"Git-managed checklist for the MSI B850M + Ryzen 7 7700 rig covering BIOS profiles, dual-boot imaging, GPU drivers, and VS Code devcontainer setup.",in_progress,1,Phase 1 – Hardware Foundations & Modern Embedded C++,2025-10-27,2025-11-23,https://github.com/khashyap0803/embedded-labops,
2,Foundation Electronics Notebook,"Notion + markdown knowledge base of voltage divider calculators, LTspice sims, and measurement SOPs with accompanying Python/C utilities.",in_progress,1,Phase 1 – Hardware Foundations & Modern Embedded C++,2025-10-27,2025-11-16,,
3,Digital Logic Playground,"Logisim + C portfolio demonstrating FSMs, 4-bit adders, and QEMU-backed simulations with video walkthroughs.",planned,1,Phase 1 – Hardware Foundations & Modern Embedded C++,2025-11-10,2025-11-30,https://github.com/khashyap0803/digital-logic-playground,
4,Protocol Explorer Pack,"Suite of UART/I2C/SPI experiments (bit-banged UART, analyzer captures, minicom scripts) packaged with READMEs and troubleshooting checklists.",planned,1,Phase 1 – Hardware Foundations & Modern Embedded C++,2025-12-01,2025-12-21,https://github.com/khashyap0803/protocol-explorer,
5,Zephyr Multi-Protocol Connectivity Gateway,"Deliver a Zephyr-based IoT gateway that bridges CAN, BLE, Ethernet, and MQTT with resilient reconnect logic and field diagnostics.",in_progress,2,Phase 2 – Real-Time Systems & Connected Firmware,2026-01-26,2026-03-22,https://github.com/nanifour/zephyr-connectivity-gateway,https://www.loom.com/share/zephyr-gateway-demo
6,Secure OTA Update Orchestrator,"Build an MCU + gateway orchestration layer that signs, encrypts, and stages FreeRTOS/Zephyr firmware updates with rollback telemetry.",planned,2,Phase 2 – Real-Time Systems & Connected Firmware,2026-02-16,2026-04-05,https://github.com/nanifour/secure-ota-orchestrator,
7,Fleet Diagnostics Telemetry Stack,"Implement structured logging, health monitoring, and Prometheus/Grafana exporters for edge nodes and gateways.",planned,2,Phase 2 – Real-Time Systems & Connected Firmware,2026-03-02,2026-04-19,https://github.com/nanifour/fleet-diagnostics-stack,
8,Digital Twin Provisioning Portal,"Create a provisioning workflow that pairs hardware IDs with digital twins, secrets, and manufacturing test certificates.",planned,2,Phase 2 – Real-Time Systems & Connected Firmware,2026-03-23,2026-04-26,https://github.com/nanifour/digital-twin-portal,
9,TinyML Sensor Fusion Rig,"Design a Cortex-M based fusion stack combining IMU, audio, and environmental inputs with TinyML models and adaptive filtering.",in_progress,3,"Phase 3 – Edge Intelligence, Safety & Manufacturing Readiness",2026-04-27,2026-06-21,https://github.com/nanifour/tinyml-sensor-fusion,https://www.loom.com/share/tinyml-fusion-demo
10,Functional Safety Automation Harness,"Automate ISO 26262 evidence capture with diagnostic coverage calculators, MC/DC reports, and fault injection scripts.",planned,3,"Phase 3 – Edge Intelligence, Safety & Manufacturing Readiness",2026-05-18,2026-07-12,https://github.com/nanifour/functional-safety-harness,
11,Manufacturing Test Automation Bench,"Develop hardware-in-the-loop fixtures, boundary-scan recipes, and SBOM validation for pilot manufacturing.",planned,3,"Phase 3 – Edge Intelligence, Safety & Manufacturing Readiness",2026-06-01,2026-07-26,https://github.com/nanifour/manufacturing-test-bench,
12,Edge DevOps Observability Pipeline,"Create CI/CD workflows that deliver signed artifacts, run device-in-the-loop regression tests, and emit compliance evidence.",planned,3,"Phase 3 – Edge Intelligence, Safety & Manufacturing Readiness",2026-06-15,2026-08-02,https://github.com/nanifour/edge-devops-pipeline,
13,Productization UX Polish," Qt/PySide6 HMI refresh with accessibility, dark-mode, and localisation toggles aligned to Samsung 32"" panel constraints.",planned,4,"Phase 4 – Productization, Launch & Career Amplification",2026-07-27,2026-08-30,https://github.com/khashyap0803/productization-ux,
14,Intelligence & Analytics Console,Grafana/Metabase bundle streaming TinyML + ops metrics with alerting hooks for Bosch/TI interview demos.,planned,4,"Phase 4 – Productization, Launch & Career Amplification",2026-08-10,2026-09-20,https://github.com/khashyap0803/embedded-analytics-console,
15,Career Brand Launchpad,"Portfolio rebuild, Loom highlight reel, and GitHub Pages microsite showcasing 15 projects + 4 certs.",planned,4,"Phase 4 – Productization, Launch & Career Amplification",2026-08-31,2026-10-25,https://github.com/khashyap0803/career-brand,https://embedded-mastery-khashyap.github.io
