ID,Title,Type,URL,Week,Phase,Notes
3,Khan Academy electronics shorts,Video,https://www.khanacademy.org/science/electrical-engineering,1,Phase 1 – Hardware Foundations & Modern Embedded C++,5-minute refreshers before drills
1,NPTEL Basic Electronics for Embedded Systems,Course,https://www.youtube.com/playlist?list=PL7987F30C41A9ADCB,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Lectures 1-4 (IIT Madras YouTube playlist)
2,Practical Electronics for Inventors,Book,https://www.mhprofessional.com/practical-electronics-for-inventors-fourth-edition-9781259587542-usa,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Chapters 1-3 nightly reading
164,Practical Electronics for Inventors (4th Ed) - Paul Scherz,Other,https://www.amazon.com/Practical-Electronics-Inventors-Fourth-Scherz/dp/1259587541,1,Phase 1 – Hardware Foundations & Modern Embedded C++,Essential reference for electronics fundamentals
165,The Art of Electronics (3rd Ed) - Horowitz & Hill,Other,https://www.amazon.com/Art-Electronics-Paul-Horowitz/dp/0521809266,1,Phase 1 – Hardware Foundations & Modern Embedded C++,The bible of electronics - comprehensive reference
5,All About Circuits power design series,Article,https://www.allaboutcircuits.com/technical-articles/,2,Phase 1 – Hardware Foundations & Modern Embedded C++,Ripple & regulation primers
6,Arm Keil QEMU lab,Docs,https://docs.zephyrproject.org/latest/boards/qemu/index.html,2,Phase 1 – Hardware Foundations & Modern Embedded C++,Dry-run firmware without hardware
4,Falstad circuit simulator,Tool,https://falstad.com/circuit/,2,Phase 1 – Hardware Foundations & Modern Embedded C++,Use for quick what-if experiments
7,Coursera Digital Systems (Princeton),Course,https://www.coursera.org/learn/digital-systems,3,Phase 1 – Hardware Foundations & Modern Embedded C++,Audit Weeks 1-2
167,Embedded C Coding Standard (Barr Group - Amazon),Other,https://www.amazon.in/Embedded-Coding-Standard-Michael-Barr/dp/1442164824,3,Phase 1 – Hardware Foundations & Modern Embedded C++,Industry coding standards for embedded C
9,Logisim Evolution,Tool,https://github.com/logisim-evolution/logisim-evolution,3,Phase 1 – Hardware Foundations & Modern Embedded C++,Preferred simulator for FSMs
166,The C Programming Language (K&R) - Kernighan & Ritchie,Other,https://www.amazon.com/Programming-Language-2nd-Brian-Kernighan/dp/0131103628,3,Phase 1 – Hardware Foundations & Modern Embedded C++,The definitive C language book by its creators
8,Udemy Digital Electronics for Embedded,Course,https://www.udemy.com/course/crash-course-digital-electronics/,3,Phase 1 – Hardware Foundations & Modern Embedded C++,Use first 5 hours for Logisim labs
12,ARM Cortex-M for Embedded Engineers,Book,https://www.arm.com/resources/education/books,4,Phase 1 – Hardware Foundations & Modern Embedded C++,Architecture primer
11,Espressif Getting Started,Docs,https://docs.espressif.com/projects/esp-idf/en/latest/esp32/get-started/index.html,4,Phase 1 – Hardware Foundations & Modern Embedded C++,ESP-IDF CLI flow
10,ST STM32 Step-by-Step series,Course,https://wiki.st.com/stm32mcu/wiki/STM32StepByStep:Getting_started_with_STM32_:_STM32_step_by_step,4,Phase 1 – Hardware Foundations & Modern Embedded C++,Videos on toolchains and flashing
168,Definitive Guide to ARM Cortex-M3/M4 - Joseph Yiu,Other,https://www.amazon.com/Definitive-Guide-ARM-Cortex-M3/dp/0124080820,5,Phase 1 – Hardware Foundations & Modern Embedded C++,Essential ARM Cortex-M architecture reference
14,Embedded C Programming (Book),Book,https://www.researchgate.net/publication/343889943_Embedded_C_Programming,5,Phase 1 – Hardware Foundations & Modern Embedded C++,Daily end-of-chapter drills
15,HackerRank C track,Platform,https://www.hackerrank.com/domains/c,5,Phase 1 – Hardware Foundations & Modern Embedded C++,Target 50 easy problems over the phase
169,Mastering STM32 (2nd Ed) - Carmine Noviello,Other,https://leanpub.com/mastering-stm32-2nd,5,Phase 1 – Hardware Foundations & Modern Embedded C++,Comprehensive STM32 development guide
13,edX C Programming for Embedded Systems,Course,https://www.edx.org/learn/c-programming,5,Phase 1 – Hardware Foundations & Modern Embedded C++,Use Weeks 1-2
17,Embedded C Coding Standards,Book,https://www.amazon.in/Embedded-Coding-Standard-Michael-Barr/dp/1442164824,6,Phase 1 – Hardware Foundations & Modern Embedded C++,Chapters on pointers & volatile
