ID,Title,Week,Day,Hour,Status,Work Seconds,Break Seconds
3636,C Variables and Data Types,0,1,1,Pending,0,0
3637,Control Flow: Loops,0,1,2,Pending,0,0
3638,Functions and Prototypes,0,1,3,Pending,0,0
2145,Pointer Fundamentals,0,2,1,Pending,0,0
2146,Pointer Arithmetic,0,2,2,Pending,0,0
2147,Function Pointers,0,2,3,Pending,0,0
2148,Voltage Fundamentals,0,3,1,Pending,0,0
2149,Kirchhoff Voltage Law,0,3,2,Pending,0,0
2150,Voltage Measurement,0,3,3,Pending,0,0
2151,Resistor Color Codes,0,4,1,Pending,0,0
2152,Resistor Networks,0,4,2,Pending,0,0
2153,Power Ratings,0,4,3,Pending,0,0
2154,Linux Command Line Basics,0,5,1,Pending,0,0
2155,File Operations,0,5,2,Pending,0,0
2156,Text Processing,0,5,3,Pending,0,0
3633,GCC Compilation Process,0,6,1,Pending,0,0
3634,Compiler Flags and Warnings,0,6,2,Pending,0,0
3635,Makefile Fundamentals,0,6,3,Pending,0,0
2160,Binary Number System,0,7,1,Pending,0,0
2161,Binary Arithmetic,0,7,2,Pending,0,0
2162,Bitwise Operations,0,7,3,Pending,0,0
2163,Ohms Law Application,1,1,1,Pending,0,0
2164,Resistance Combinations,1,1,2,Pending,0,0
2165,Power Calculations,1,1,3,Pending,0,0
3966,Kirchhoff Current Law (KCL),1,2,1,Pending,0,0
3967,Kirchhoff Voltage Law (KVL),1,2,2,Pending,0,0
3968,Combined Circuit Analysis,1,2,3,Pending,0,0
3969,Resistor Testing with Multimeter,1,3,1,Pending,0,0
3970,Capacitor Testing,1,3,2,Pending,0,0
3971,LED Forward Voltage Testing,1,3,3,Pending,0,0
3972,Oscilloscope Basic Operation,1,4,1,Pending,0,0
3973,Multimeter Best Practices,1,4,2,Pending,0,0
3974,ESD Protection Setup,1,4,3,Pending,0,0
2175,Study reference manual sections in depth,1,5,1,Pending,0,0
2176,Complete hands-on debugging exercise,1,5,2,Pending,0,0
2177,Apply learned concepts to practical implementation,1,5,3,Pending,0,0
2178,Plan system integration approach and dependencies,1,6,1,Pending,0,0
2179,Execute component interface tests,1,6,2,Pending,0,0
2180,Review integration test results and metrics,1,6,3,Pending,0,0
3975,Review Electronics Concepts,1,7,1,Pending,0,0
3976,Self-Assessment Quiz,1,7,2,Pending,0,0
3977,Prepare for Week 2,1,7,3,Pending,0,0
2184,Set up first Wokwi LED blink project with STM32,2,1,1,Pending,0,0
2185,Simulate button input with debouncing in Wokwi,2,1,2,Pending,0,0
2186,Verify PWM output waveform in Wokwi oscilloscope,2,1,3,Pending,0,0
3999,Multi-Component Simulation,2,2,1,Pending,0,0
4000,Timing Analysis in Simulation,2,2,2,Pending,0,0
4001,Export to Real Hardware,2,2,3,Pending,0,0
2190,Measure voltage rails with multimeter on dev board,2,3,1,Pending,0,0
2191,Debug power sequencing issues with oscilloscope,2,3,2,Pending,0,0
2192,Troubleshoot brownout and voltage droop scenarios,2,3,3,Pending,0,0
2193,Debugging Techniques,2,4,1,Pending,0,0
2194,Use GDB for debugging firmware and inspecting variables,2,4,2,Pending,0,0
2195,Core Dump Analysis,2,4,3,Pending,0,0
2196,Analyze hardware timing diagrams,2,5,1,Pending,0,0
2197,Practice peripheral configuration independently,2,5,2,Pending,0,0
2198,Build working prototype using week concepts,2,5,3,Pending,0,0
2199,Identify integration test points and interfaces,2,6,1,Pending,0,0
2200,Validate data flow between modules,2,6,2,Pending,0,0
2201,Analyze component coupling issues,2,6,3,Pending,0,0
3978,Review Simulation Concepts,2,7,1,Pending,0,0
3979,Power Supply Self-Assessment,2,7,2,Pending,0,0
3980,Prepare for Digital Logic,2,7,3,Pending,0,0
2205,"Build truth tables for AND, OR, XOR gates in Logisim",3,1,1,Pending,0,0
2206,Simulate combinational logic circuits with Logisim,3,1,2,Pending,0,0
2207,Verify digital logic designs with logic analyzer,3,1,3,Pending,0,0
4002,Apply Boolean algebra simplification with K-Map,3,2,1,Pending,0,0
4003,Logic Minimization,3,2,2,Pending,0,0
4004,Dont Care Conditions,3,2,3,Pending,0,0
2211,Implement two-state LED toggle FSM in C with switch-case,3,3,1,Pending,0,0
2212,Build three-state traffic light FSM with defined transitions,3,3,2,Pending,0,0
2213,Design FSM state diagram and convert to C struct-based implementation,3,3,3,Pending,0,0
4005,State Diagram Notation,3,4,1,Pending,0,0
4006,State Transition Tables,3,4,2,Pending,0,0
4007,FSM Coding in C,3,4,3,Pending,0,0
2217,Research advanced configuration options,3,5,1,Pending,0,0
2218,Build test fixture for experimentation,3,5,2,Pending,0,0
2219,Extend examples with custom modifications,3,5,3,Pending,0,0
2220,Design integration validation strategy,3,6,1,Pending,0,0
2221,Test error handling at integration points,3,6,2,Pending,0,0
2222,Document integration lessons learned,3,6,3,Pending,0,0
3981,Review Digital Logic Concepts,3,7,1,Pending,0,0
3982,Logisim Practice Problems,3,7,2,Pending,0,0
3983,Prepare for ARM Architecture,3,7,3,Pending,0,0
2226,Analyze ARM Cortex-M pipeline stages fetch-decode-execute,4,1,1,Pending,0,0
2227,"Map STM32 memory regions: Flash, SRAM, peripherals",4,1,2,Pending,0,0
2228,Explore AHB and APB bus architecture with debugger,4,1,3,Pending,0,0
4008,General Purpose Registers,4,2,1,Pending,0,0
4009,"Special Registers (SP, LR, PC)",4,2,2,Pending,0,0
4010,Program Status Registers,4,2,3,Pending,0,0
2232,Debugging Techniques,4,3,1,Pending,0,0
2233,Use GDB for debugging firmware and inspecting variables,4,3,2,Pending,0,0
2234,Core Dump Analysis,4,3,3,Pending,0,0
2235,Configure Linux development environment with toolchains,4,4,1,Pending,0,0
2236,Set up cross-platform build automation scripts,4,4,2,Pending,0,0
2237,Optimize workspace for dual Windows/Linux development,4,4,3,Pending,0,0
2238,Compare implementation approaches,4,5,1,Pending,0,0
2239,Implement feature without reference code,4,5,2,Pending,0,0
2240,Solve real-world problem using new skills,4,5,3,Pending,0,0
2241,Map component interactions for integration,4,6,1,Pending,0,0
2242,Verify timing constraints across components,4,6,2,Pending,0,0
2243,Assess system stability post-integration,4,6,3,Pending,0,0
3984,Review ARM Architecture,4,7,1,Pending,0,0
3985,Assembly Practice,4,7,2,Pending,0,0
3986,Prepare for C Programming,4,7,3,Pending,0,0
3639,C Syntax: Data Types and Declarations,5,1,1,Pending,0,0
3640,C Syntax: Control Structures,5,1,2,Pending,0,0
3641,C Syntax: Operators and Expressions,5,1,3,Pending,0,0
3642,C Syntax: Arrays and Strings,5,2,1,Pending,0,0
3643,C Syntax: Multi-dimensional Arrays,5,2,2,Pending,0,0
3644,C Syntax: String Library Functions,5,2,3,Pending,0,0
3645,HackerRank: Easy C Problems,5,3,1,Pending,0,0
3646,HackerRank: Medium C Problems,5,3,2,Pending,0,0
3647,Code Review and Optimization,5,3,3,Pending,0,0
